ordinance,summary,votes
M-23-182,"Submitting for Council approval the Amendment to the Classified Pay Plan (Sewerage and
Water Board), New Classification in accordance with Article X, Section 10 of the Constitution
of Louisiana as adopted by the Civil Service Commission at its meeting of April 17, 2023, to
be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-182
72. MOTION - NO. M-23-183 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Property
Management), Hiring Rates and New Special Rate of Pay in accordance with Article X,
Section 10 of the Constitution of Louisiana as adopted by the Civil Service Commission at its
meeting of April 17, 2023, to be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-183
73. MOTION - NO. M-23-184 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Invalid
M-23-182,"Submitting for Council approval the Amendment to the Classified Pay Plan (Sewerage and
Water Board), New Classification in accordance with Article X, Section 10 of the Constitution
of Louisiana as adopted by the Civil Service Commission at its meeting of April 17, 2023, to
be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-182
72. MOTION - NO. M-23-183 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Property
Management), Hiring Rates and New Special Rate of Pay in accordance with Article X,
Section 10 of the Constitution of Louisiana as adopted by the Civil Service Commission at its
meeting of April 17, 2023, to be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-183
73. MOTION - NO. M-23-184 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Giarrusso - absent
M-23-182,"Submitting for Council approval the Amendment to the Classified Pay Plan (Sewerage and
Water Board), New Classification in accordance with Article X, Section 10 of the Constitution
of Louisiana as adopted by the Civil Service Commission at its meeting of April 17, 2023, to
be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-182
72. MOTION - NO. M-23-183 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Property
Management), Hiring Rates and New Special Rate of Pay in accordance with Article X,
Section 10 of the Constitution of Louisiana as adopted by the Civil Service Commission at its
meeting of April 17, 2023, to be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-183
73. MOTION - NO. M-23-184 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",King - absent
M-23-183,"Submitting for Council approval the Amendments to the Classified Pay Plan (Property
Management), Hiring Rates and New Special Rate of Pay in accordance with Article X,
Section 10 of the Constitution of Louisiana as adopted by the Civil Service Commission at its
meeting of April 17, 2023, to be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-183
73. MOTION - NO. M-23-184 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Green - yeas
M-23-183,"Submitting for Council approval the Amendments to the Classified Pay Plan (Property
Management), Hiring Rates and New Special Rate of Pay in accordance with Article X,
Section 10 of the Constitution of Louisiana as adopted by the Civil Service Commission at its
meeting of April 17, 2023, to be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-183
73. MOTION - NO. M-23-184 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Harris - yeas
M-23-183,"Submitting for Council approval the Amendments to the Classified Pay Plan (Property
Management), Hiring Rates and New Special Rate of Pay in accordance with Article X,
Section 10 of the Constitution of Louisiana as adopted by the Civil Service Commission at its
meeting of April 17, 2023, to be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-183
73. MOTION - NO. M-23-184 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Moreno - yeas
M-23-183,"Submitting for Council approval the Amendments to the Classified Pay Plan (Property
Management), Hiring Rates and New Special Rate of Pay in accordance with Article X,
Section 10 of the Constitution of Louisiana as adopted by the Civil Service Commission at its
meeting of April 17, 2023, to be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-183
73. MOTION - NO. M-23-184 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Morrell - yeas
M-23-183,"Submitting for Council approval the Amendments to the Classified Pay Plan (Property
Management), Hiring Rates and New Special Rate of Pay in accordance with Article X,
Section 10 of the Constitution of Louisiana as adopted by the Civil Service Commission at its
meeting of April 17, 2023, to be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-183
73. MOTION - NO. M-23-184 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Thomas - yeas
M-23-183,"Submitting for Council approval the Amendments to the Classified Pay Plan (Property
Management), Hiring Rates and New Special Rate of Pay in accordance with Article X,
Section 10 of the Constitution of Louisiana as adopted by the Civil Service Commission at its
meeting of April 17, 2023, to be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-183
73. MOTION - NO. M-23-184 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Invalid
M-23-183,"Submitting for Council approval the Amendments to the Classified Pay Plan (Property
Management), Hiring Rates and New Special Rate of Pay in accordance with Article X,
Section 10 of the Constitution of Louisiana as adopted by the Civil Service Commission at its
meeting of April 17, 2023, to be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-183
73. MOTION - NO. M-23-184 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Giarrusso - absent
M-23-183,"Submitting for Council approval the Amendments to the Classified Pay Plan (Property
Management), Hiring Rates and New Special Rate of Pay in accordance with Article X,
Section 10 of the Constitution of Louisiana as adopted by the Civil Service Commission at its
meeting of April 17, 2023, to be effective May 14, 2023.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Budget/Audit/Board of Review Committee recommended approval).
ADOPTED.
M-23-183
73. MOTION - NO. M-23-184 - BY: COUNCILMEMBERS GIARRUSSO, MORENO,
MORRELL, GREEN AND THOMAS
Brief:
Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",King - absent
M-23-184,"Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Green - yeas
M-23-184,"Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Harris - yeas
M-23-184,"Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Moreno - yeas
M-23-184,"Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Morrell - yeas
M-23-184,"Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Thomas - yeas
M-23-184,"Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Invalid
M-23-184,"Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",Giarrusso - absent
M-23-184,"Submitting for Council approval the Amendments to the Classified Pay Plan (Safety and
Permits), Hiring Rates and New Job Classification (Zoning Administration) in accordance
with Article X, Section 10 of the Constitution of Louisiana as adopted by the Civil Service
Commission at its meeting of January 20, 2023, to be effective May 14, 2023.",King - absent
M-23-185,"Adding the President of the Council as a signatory to the Loan Agreement between the City of
New Orleans, through its Office of Community Development, and Unity of Greater New
Orleans, Inc. and authorizing the President of the Council to sign the Loan Agreement
between the City of New Orleans, through its Office of Community Development, and Unity
of Greater New Orleans, Inc.",Giarrusso - yeas
M-23-185,"Adding the President of the Council as a signatory to the Loan Agreement between the City of
New Orleans, through its Office of Community Development, and Unity of Greater New
Orleans, Inc. and authorizing the President of the Council to sign the Loan Agreement
between the City of New Orleans, through its Office of Community Development, and Unity
of Greater New Orleans, Inc.",Green - yeas
M-23-185,"Adding the President of the Council as a signatory to the Loan Agreement between the City of
New Orleans, through its Office of Community Development, and Unity of Greater New
Orleans, Inc. and authorizing the President of the Council to sign the Loan Agreement
between the City of New Orleans, through its Office of Community Development, and Unity
of Greater New Orleans, Inc.",Harris - yeas
M-23-185,"Adding the President of the Council as a signatory to the Loan Agreement between the City of
New Orleans, through its Office of Community Development, and Unity of Greater New
Orleans, Inc. and authorizing the President of the Council to sign the Loan Agreement
between the City of New Orleans, through its Office of Community Development, and Unity
of Greater New Orleans, Inc.",King - yeas
M-23-185,"Adding the President of the Council as a signatory to the Loan Agreement between the City of
New Orleans, through its Office of Community Development, and Unity of Greater New
Orleans, Inc. and authorizing the President of the Council to sign the Loan Agreement
between the City of New Orleans, through its Office of Community Development, and Unity
of Greater New Orleans, Inc.",Morrell - yeas
M-23-185,"Adding the President of the Council as a signatory to the Loan Agreement between the City of
New Orleans, through its Office of Community Development, and Unity of Greater New
Orleans, Inc. and authorizing the President of the Council to sign the Loan Agreement
between the City of New Orleans, through its Office of Community Development, and Unity
of Greater New Orleans, Inc.",Thomas - yeas
M-23-185,"Adding the President of the Council as a signatory to the Loan Agreement between the City of
New Orleans, through its Office of Community Development, and Unity of Greater New
Orleans, Inc. and authorizing the President of the Council to sign the Loan Agreement
between the City of New Orleans, through its Office of Community Development, and Unity
of Greater New Orleans, Inc.",Invalid
M-23-185,"Adding the President of the Council as a signatory to the Loan Agreement between the City of
New Orleans, through its Office of Community Development, and Unity of Greater New
Orleans, Inc. and authorizing the President of the Council to sign the Loan Agreement
between the City of New Orleans, through its Office of Community Development, and Unity
of Greater New Orleans, Inc.",Invalid
M-23-185,"Adding the President of the Council as a signatory to the Loan Agreement between the City of
New Orleans, through its Office of Community Development, and Unity of Greater New
Orleans, Inc. and authorizing the President of the Council to sign the Loan Agreement
between the City of New Orleans, through its Office of Community Development, and Unity
of Greater New Orleans, Inc.",Moreno - recused
M-23-187,"Adding the President of the Council as a signatory to the lease between the City of New
Orleans and Orleans Tower, LLC and authorizing the President of the Council to sign the lease
between the City of New Orleans and Orleans Tower, LLC.",Giarrusso - yeas
M-23-187,"Adding the President of the Council as a signatory to the lease between the City of New
Orleans and Orleans Tower, LLC and authorizing the President of the Council to sign the lease
between the City of New Orleans and Orleans Tower, LLC.",Green - yeas
M-23-187,"Adding the President of the Council as a signatory to the lease between the City of New
Orleans and Orleans Tower, LLC and authorizing the President of the Council to sign the lease
between the City of New Orleans and Orleans Tower, LLC.",Harris - yeas
M-23-187,"Adding the President of the Council as a signatory to the lease between the City of New
Orleans and Orleans Tower, LLC and authorizing the President of the Council to sign the lease
between the City of New Orleans and Orleans Tower, LLC.",King - yeas
M-23-187,"Adding the President of the Council as a signatory to the lease between the City of New
Orleans and Orleans Tower, LLC and authorizing the President of the Council to sign the lease
between the City of New Orleans and Orleans Tower, LLC.",Moreno - yeas
M-23-187,"Adding the President of the Council as a signatory to the lease between the City of New
Orleans and Orleans Tower, LLC and authorizing the President of the Council to sign the lease
between the City of New Orleans and Orleans Tower, LLC.",Thomas - yeas
M-23-187,"Adding the President of the Council as a signatory to the lease between the City of New
Orleans and Orleans Tower, LLC and authorizing the President of the Council to sign the lease
between the City of New Orleans and Orleans Tower, LLC.",Invalid
M-23-187,"Adding the President of the Council as a signatory to the lease between the City of New
Orleans and Orleans Tower, LLC and authorizing the President of the Council to sign the lease
between the City of New Orleans and Orleans Tower, LLC.",Invalid
M-23-187,"Adding the President of the Council as a signatory to the lease between the City of New
Orleans and Orleans Tower, LLC and authorizing the President of the Council to sign the lease
between the City of New Orleans and Orleans Tower, LLC.",Morrell - absent
M-23-188,"Approving and granting the applicant's appeal request for property located at 7465-7467 Pitt
Street.",Giarrusso - yeas
M-23-188,"Approving and granting the applicant's appeal request for property located at 7465-7467 Pitt
Street.",Green - yeas
M-23-188,"Approving and granting the applicant's appeal request for property located at 7465-7467 Pitt
Street.",Harris - yeas
M-23-188,"Approving and granting the applicant's appeal request for property located at 7465-7467 Pitt
Street.",King - yeas
M-23-188,"Approving and granting the applicant's appeal request for property located at 7465-7467 Pitt
Street.",Morrell - yeas
M-23-188,"Approving and granting the applicant's appeal request for property located at 7465-7467 Pitt
Street.",Invalid
M-23-188,"Approving and granting the applicant's appeal request for property located at 7465-7467 Pitt
Street.",Invalid
M-23-188,"Approving and granting the applicant's appeal request for property located at 7465-7467 Pitt
Street.",Moreno - absent
M-23-188,"Approving and granting the applicant's appeal request for property located at 7465-7467 Pitt
Street.",Thomas - absent
M-23-189,"Motion stating that Rule 15.A of the Council's Rules and Regulations is amended and restated
to read as follows:
Except as otherwise provided in this rule, any appointment to a board, commission, or public
agency requiring Council approval shall be made by motion, which shall be referred
automatically to the Governmental Affairs Committee for initial consideration before approval
by the full Council. In accordance with City Code Section 2-87.1, no appointment motion may
be considered until a nominee has submitted a completed and notarized questionnaire on
forms provided by the Council Research Office.
No vote on a motion to approve a new appointee to any board, commission, or public agency
may be taken by Council unless the outgoing board, commission, or public agency member is
notified in writing of the termination of his or her appointment, and a copy of said notice is
provided to the Council Research Office along with the other necessary documents for a new
appointment.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Referred to the Governmental Affairs Committee).
CONTINUED TO THE MEETING OF 5/25/23.
M-23-189
https://cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4545&doc_id=0e9f44e9-ff10-11ed-95dd-0050569183fa
60/69cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4545&doc_id=0e9f44e9-ff10-11ed-95dd-0050569183fa
6/23/23, 5:38 PM
49. MOTION - NO. M-23-190 - BY: COUNCILMEMBER GIARRUSSO
Brief:
Motion stating that Rule 35.B of the Council's Rules and Regulations is amended and restated
to read as
follows:
Amendments cannot alter or nullify the original purpose of the motion, resolution, or
ordinance; and all amendments must be germane to the instrument's original purpose.
Amendments to a calendared ordinance by a non-sponsoring councilmember must be received
by the sponsoring councilmember at least 48 hours in advance of the Council meeting at
which the ordinance will be considered.
Amendments to a motion by a non-sponsoring councilmember must be received by the
sponsoring councilmember at least 48 hours in advance of the Council meeting at which the
motion will be considered.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Referred to the Governmental Affairs Committee).
CONTINUED TO THE MEETING OF 5/25/23.
M-23-190
50. MOTION - NO. M-23-192 - BY: COUNCILMEMBERS MORRELL AND GREEN
Brief:
Directing the City Planning Commission to conduct a public hearing to consider amendments
to Ordinance No. 4,264 M.C.S ., amended by Ordinance No. 26,413 M.C.S ., as amended, the
Comprehensive Zoning Ordinance of the City of New Orleans, to rezone all residential plots
located in the neighborhoods of Lake Terrace (bounded by Lake Ponchartrain, the London
Avenue Outfall Canal, Allen Toussaint Boulevard, and Bayou St. John) and Lake Oaks
(bounded by Leon C. Simon Drive, Elysian Fields Avenue, Lake Oaks Parkway, and Music
Street) from S-RS Suburban Single-Family Residential District to S-LRS2 Lake Vista and
Lake Shore Single-Family Residential District.",Giarrusso - yeas
M-23-189,"Motion stating that Rule 15.A of the Council's Rules and Regulations is amended and restated
to read as follows:
Except as otherwise provided in this rule, any appointment to a board, commission, or public
agency requiring Council approval shall be made by motion, which shall be referred
automatically to the Governmental Affairs Committee for initial consideration before approval
by the full Council. In accordance with City Code Section 2-87.1, no appointment motion may
be considered until a nominee has submitted a completed and notarized questionnaire on
forms provided by the Council Research Office.
No vote on a motion to approve a new appointee to any board, commission, or public agency
may be taken by Council unless the outgoing board, commission, or public agency member is
notified in writing of the termination of his or her appointment, and a copy of said notice is
provided to the Council Research Office along with the other necessary documents for a new
appointment.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Referred to the Governmental Affairs Committee).
CONTINUED TO THE MEETING OF 5/25/23.
M-23-189
https://cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4545&doc_id=0e9f44e9-ff10-11ed-95dd-0050569183fa
60/69cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4545&doc_id=0e9f44e9-ff10-11ed-95dd-0050569183fa
6/23/23, 5:38 PM
49. MOTION - NO. M-23-190 - BY: COUNCILMEMBER GIARRUSSO
Brief:
Motion stating that Rule 35.B of the Council's Rules and Regulations is amended and restated
to read as
follows:
Amendments cannot alter or nullify the original purpose of the motion, resolution, or
ordinance; and all amendments must be germane to the instrument's original purpose.
Amendments to a calendared ordinance by a non-sponsoring councilmember must be received
by the sponsoring councilmember at least 48 hours in advance of the Council meeting at
which the ordinance will be considered.
Amendments to a motion by a non-sponsoring councilmember must be received by the
sponsoring councilmember at least 48 hours in advance of the Council meeting at which the
motion will be considered.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Referred to the Governmental Affairs Committee).
CONTINUED TO THE MEETING OF 5/25/23.
M-23-190
50. MOTION - NO. M-23-192 - BY: COUNCILMEMBERS MORRELL AND GREEN
Brief:
Directing the City Planning Commission to conduct a public hearing to consider amendments
to Ordinance No. 4,264 M.C.S ., amended by Ordinance No. 26,413 M.C.S ., as amended, the
Comprehensive Zoning Ordinance of the City of New Orleans, to rezone all residential plots
located in the neighborhoods of Lake Terrace (bounded by Lake Ponchartrain, the London
Avenue Outfall Canal, Allen Toussaint Boulevard, and Bayou St. John) and Lake Oaks
(bounded by Leon C. Simon Drive, Elysian Fields Avenue, Lake Oaks Parkway, and Music
Street) from S-RS Suburban Single-Family Residential District to S-LRS2 Lake Vista and
Lake Shore Single-Family Residential District.",Green - yeas
M-23-189,"Motion stating that Rule 15.A of the Council's Rules and Regulations is amended and restated
to read as follows:
Except as otherwise provided in this rule, any appointment to a board, commission, or public
agency requiring Council approval shall be made by motion, which shall be referred
automatically to the Governmental Affairs Committee for initial consideration before approval
by the full Council. In accordance with City Code Section 2-87.1, no appointment motion may
be considered until a nominee has submitted a completed and notarized questionnaire on
forms provided by the Council Research Office.
No vote on a motion to approve a new appointee to any board, commission, or public agency
may be taken by Council unless the outgoing board, commission, or public agency member is
notified in writing of the termination of his or her appointment, and a copy of said notice is
provided to the Council Research Office along with the other necessary documents for a new
appointment.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Referred to the Governmental Affairs Committee).
CONTINUED TO THE MEETING OF 5/25/23.
M-23-189
https://cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4545&doc_id=0e9f44e9-ff10-11ed-95dd-0050569183fa
60/69cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4545&doc_id=0e9f44e9-ff10-11ed-95dd-0050569183fa
6/23/23, 5:38 PM
49. MOTION - NO. M-23-190 - BY: COUNCILMEMBER GIARRUSSO
Brief:
Motion stating that Rule 35.B of the Council's Rules and Regulations is amended and restated
to read as
follows:
Amendments cannot alter or nullify the original purpose of the motion, resolution, or
ordinance; and all amendments must be germane to the instrument's original purpose.
Amendments to a calendared ordinance by a non-sponsoring councilmember must be received
by the sponsoring councilmember at least 48 hours in advance of the Council meeting at
which the ordinance will be considered.
Amendments to a motion by a non-sponsoring councilmember must be received by the
sponsoring councilmember at least 48 hours in advance of the Council meeting at which the
motion will be considered.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Referred to the Governmental Affairs Committee).
CONTINUED TO THE MEETING OF 5/25/23.
M-23-190
50. MOTION - NO. M-23-192 - BY: COUNCILMEMBERS MORRELL AND GREEN
Brief:
Directing the City Planning Commission to conduct a public hearing to consider amendments
to Ordinance No. 4,264 M.C.S ., amended by Ordinance No. 26,413 M.C.S ., as amended, the
Comprehensive Zoning Ordinance of the City of New Orleans, to rezone all residential plots
located in the neighborhoods of Lake Terrace (bounded by Lake Ponchartrain, the London
Avenue Outfall Canal, Allen Toussaint Boulevard, and Bayou St. John) and Lake Oaks
(bounded by Leon C. Simon Drive, Elysian Fields Avenue, Lake Oaks Parkway, and Music
Street) from S-RS Suburban Single-Family Residential District to S-LRS2 Lake Vista and
Lake Shore Single-Family Residential District.",Harris - yeas
M-23-189,"Motion stating that Rule 15.A of the Council's Rules and Regulations is amended and restated
to read as follows:
Except as otherwise provided in this rule, any appointment to a board, commission, or public
agency requiring Council approval shall be made by motion, which shall be referred
automatically to the Governmental Affairs Committee for initial consideration before approval
by the full Council. In accordance with City Code Section 2-87.1, no appointment motion may
be considered until a nominee has submitted a completed and notarized questionnaire on
forms provided by the Council Research Office.
No vote on a motion to approve a new appointee to any board, commission, or public agency
may be taken by Council unless the outgoing board, commission, or public agency member is
notified in writing of the termination of his or her appointment, and a copy of said notice is
provided to the Council Research Office along with the other necessary documents for a new
appointment.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Referred to the Governmental Affairs Committee).
CONTINUED TO THE MEETING OF 5/25/23.
M-23-189
https://cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4545&doc_id=0e9f44e9-ff10-11ed-95dd-0050569183fa
60/69cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4545&doc_id=0e9f44e9-ff10-11ed-95dd-0050569183fa
6/23/23, 5:38 PM
49. MOTION - NO. M-23-190 - BY: COUNCILMEMBER GIARRUSSO
Brief:
Motion stating that Rule 35.B of the Council's Rules and Regulations is amended and restated
to read as
follows:
Amendments cannot alter or nullify the original purpose of the motion, resolution, or
ordinance; and all amendments must be germane to the instrument's original purpose.
Amendments to a calendared ordinance by a non-sponsoring councilmember must be received
by the sponsoring councilmember at least 48 hours in advance of the Council meeting at
which the ordinance will be considered.
Amendments to a motion by a non-sponsoring councilmember must be received by the
sponsoring councilmember at least 48 hours in advance of the Council meeting at which the
motion will be considered.
Annotation:
(Council Rule 34. Postponement Deadline 9/8/23).
(Referred to the Governmental Affairs Committee).
CONTINUED TO THE MEETING OF 5/25/23.
M-23-190
50. MOTION - NO. M-23-192 - BY: COUNCILMEMBERS MORRELL AND GREEN
Brief:
Directing the City Planning Commission to conduct a public hearing to consider amendments
to Ordinance No. 4,264 M.C.S ., amended by Ordinance No. 26,413 M.C.S ., as amended, the
Comprehensive Zoning Ordinance of the City of New Orleans, to rezone all residential plots
located in the neighborhoods of Lake Terrace (bounded by Lake Ponchartrain, the London
Avenue Outfall Canal, Allen Toussaint Boulevard, and Bayou St. John) and Lake Oaks
(bounded by Leon C. Simon Drive, Elysian Fields Avenue, Lake Oaks Parkway, and Music
Street) from S-RS Suburban Single-Family Residential District to S-LRS2 Lake Vista and
Lake Shore Single-Family Residential District.",Moreno - yeas
